,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE
1,0022300042,1610612762,Utah,Jazz,UTA,jazz,240:00,93.4,95.2,126.1,126.0,-32.7,-30.8,0.658,1.79,17.4,0.258,0.744,0.446,13.203,13.5,0.444,0.471,1.0,0.2,104.96,104.0,86.67,104.0,0.309
0,0022300043,1610612753,Orlando,Magic,ORL,magic,240:00,113.4,111.9,93.0,96.0,20.4,15.9,0.535,1.28,17.0,0.311,0.833,0.581,18.058,17.8,0.571,0.597,1.0,0.199,101.48,100.5,83.75,101.0,0.577
1,0022300043,1610612738,Boston,Celtics,BOS,celtics,240:00,93.0,96.0,113.4,111.9,-20.4,-15.9,0.548,1.13,13.7,0.167,0.689,0.419,14.524,15.0,0.454,0.52,1.0,0.198,101.48,100.5,83.75,100.0,0.423
0,0022300044,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,95.3,95.7,116.6,118.3,-21.3,-22.6,0.595,1.47,18.1,0.178,0.756,0.453,16.06,16.1,0.519,0.527,1.0,0.195,93.86,93.0,77.5,93.0,0.368
1,0022300044,1610612756,Phoenix,Suns,PHX,suns,240:00,116.6,118.3,95.3,95.7,21.3,22.6,0.564,1.69,17.8,0.244,0.822,0.547,13.783,14.0,0.586,0.623,1.0,0.197,93.86,93.0,77.5,93.0,0.632
0,0022300045,1610612752,New York,Knicks,NYK,knicks,240:00,98.1,102.0,100.8,99.0,-2.7,3.1,0.538,1.11,16.3,0.2,0.792,0.52,18.642,19.4,0.543,0.562,1.0,0.195,99.58,98.5,82.08,98.0,0.529
1,0022300045,1610612748,Miami,Heat,MIA,heat,240:00,100.8,99.0,98.1,102.0,2.7,-3.1,0.588,1.82,15.7,0.208,0.8,0.48,11.312,11.1,0.448,0.509,1.0,0.2,99.58,98.5,82.08,99.0,0.471
0,0022300046,1610612761,Toronto,Raptors,TOR,raptors,240:00,126.2,130.1,114.5,116.1,11.7,14.0,0.727,2.29,22.7,0.318,0.69,0.5,14.602,15.1,0.608,0.638,1.0,0.195,95.12,93.0,77.5,93.0,0.588
1,0022300046,1610612741,Chicago,Bulls,CHI,bulls,240:00,114.5,116.1,126.2,130.1,-11.7,-14.0,0.476,1.54,16.2,0.31,0.682,0.5,13.777,14.0,0.585,0.598,1.0,0.199,95.12,93.0,77.5,93.0,0.412
0,0022300047,1610612754,Indiana,Pacers,IND,pacers,240:00,127.6,137.4,112.4,114.1,15.3,23.2,0.49,2.67,16.5,0.436,0.625,0.524,8.446,9.1,0.559,0.604,1.0,0.197,103.56,99.0,82.5,99.0,0.544
1,0022300047,1610612765,Detroit,Pistons,DET,pistons,240:00,112.4,114.1,127.6,137.4,-15.3,-23.2,0.512,1.57,16.1,0.375,0.564,0.476,13.922,14.1,0.517,0.562,1.0,0.201,103.56,99.0,82.5,99.0,0.456
0,0022300048,1610612745,Houston,Rockets,HOU,rockets,240:00,108.7,106.1,84.1,88.7,24.6,17.4,0.625,1.79,19.6,0.19,0.697,0.5,14.493,14.1,0.561,0.593,1.0,0.201,99.42,98.0,81.67,99.0,0.672
1,0022300048,1610612743,Denver,Nuggets,DEN,nuggets,240:00,84.1,88.7,108.7,106.1,-24.6,-17.4,0.531,1.13,12.6,0.303,0.81,0.5,14.671,15.5,0.378,0.417,1.0,0.198,99.42,98.0,81.67,97.0,0.328
0,0022300049,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,124.1,124.8,120.5,123.1,3.7,1.7,0.583,3.11,19.5,0.245,0.759,0.515,8.529,8.6,0.571,0.615,1.0,0.199,105.88,104.5,87.08,105.0,0.537
